指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),净资产收益率(ROE)(2025Q3),净资产收益率(ROE)(2024Q4),净资产收益率(ROE)(2024Q3),股息率,关注度
="931039",银行AH,2017-12-06,=-0.0042,=12175.3100,=-0.0476,=5.8651,=0.7972,=3.2016,=4.0408,=5.1468,=5.8705,=7.9938,=0.5543,=0.4409,=0.3790,=0.4542,=0.5691,=0.7179,=1.0569,=2.2351,=0.8732,=1.0856,=1.4263,=1.7297,=2.0571,=2.9053,,=0.0932,,=0.0541,=63
="H11146",港股通内地金融,2010-06-02,=-0.0166,=1135.4504,=0.0316,=6.4608,=0.6989,=3.2759,=4.5181,=5.8106,=6.7473,=9.2347,=0.6570,=0.4465,=0.3797,=0.4941,=0.6861,=0.8770,=1.1859,=1.6700,=0.8861,=0.6692,=0.9479,=1.2503,=1.5727,=2.1885,,=0.0965,,=0.0459,=27
="399986",中证银行,2013-07-15,=0.0015,=7099.6400,=-0.0662,=6.7179,=0.7661,=4.1183,=5.2645,=6.2026,=6.8062,=9.0846,=0.6585,=0.3299,=0.4848,=0.5838,=0.7277,=0.9081,=1.2416,=2.5604,=0.8579,=1.4134,=1.7845,=2.1100,=2.4318,=3.3016,=0.0685,=0.0932,=0.0729,=0.0463,=9322
="930792",HK银行,2016-04-22,=-0.0105,=4487.7600,=0.0189,=6.9921,=0.8512,=3.2659,=4.4448,=5.7694,=6.6805,=9.5632,=0.6474,=0.5524,=0.3905,=0.4950,=0.6204,=0.8040,=1.0771,=2.6023,=0.9465,=1.0519,=1.5141,=1.8257,=2.2994,=3.1066,,=0.0966,,=0.0500,=728
="HSSCSOY",恒生港股通中国央企红利指数,2023-06-01,=-0.0268,=4205.2600,=0.0459,=7.1897,=0.9561,=4.1647,=4.5985,=5.4916,=6.7334,=7.6037,=0.6833,=0.8773,=0.4381,=0.4897,=0.5781,=0.6656,=0.7227,=0.9636,=0.9561,=0.5323,=0.5896,=0.7227,=0.8974,=1.0190,,=0.1030,,=0.0564,=177
="931233",港股通央企红利,2017-06-28,=-0.0228,=1193.9900,=0.0242,=7.2199,=0.7522,=3.6988,=4.9316,=6.2538,=7.4093,=14.0775,=0.6926,=0.6275,=0.3929,=0.5211,=0.6371,=0.8705,=1.8161,=0.9939,=0.5705,=0.4645,=0.6166,=0.9292,=1.4022,=1.7583,,=0.0974,,=0.0565,=342
="987016",港股通红利低波,2021-11-18,,,=0.0552,=7.3353,=0.9726,=3.4544,=4.2733,=4.8161,=5.9898,=7.7483,=0.6838,=0.9305,=0.4152,=0.4829,=0.5331,=0.6104,=0.7226,=1.2044,=0.9726,=0.5827,=0.6552,=0.7798,=0.9282,=1.2728,,=0.0954,,=0.0570,=62
="H11140",香港红利,2009-07-23,=-0.0243,=3758.3631,=0.0293,=7.3835,=0.7590,=3.0693,=4.4554,=5.9843,=8.4154,=13.9623,=0.7084,=0.5853,=0.3833,=0.5103,=0.6298,=0.8659,=1.1652,=1.1905,=0.6748,=0.5431,=0.7464,=0.9726,=1.6121,=2.1349,,=0.0987,,=0.0574,=3
="399809",保险主题,2015-02-13,=-0.0171,=2707.4800,=0.0148,=7.4134,=0.2994,=5.4537,=6.8119,=10.6431,=15.0228,=22.8725,=0.8345,=0.3089,=0.6352,=0.7669,=1.2300,=1.4853,=1.9794,=2.1789,=0.9440,=0.5239,=0.8689,=1.0936,=1.3493,=2.3772,=0.0826,=0.0985,=0.0781,=0.0392,=1429
="000018",180金融,2007-12-10,=-0.0038,=5623.9800,=-0.0533,=7.4507,=0.4839,=5.2016,=6.4237,=7.4925,=8.3000,=10.8609,=0.7936,=0.3513,=0.5902,=0.6966,=0.9017,=1.0756,=1.4199,=2.2586,=0.8484,=1.2355,=1.5826,=1.9152,=2.1714,=2.8772,=0.0787,=0.0991,=0.0776,=0.0394,=758
="H30106",H300金融服务,2013-05-21,=-0.0157,=1594.8935,=0.0540,=7.4924,=0.7143,=4.0175,=5.3627,=6.8331,=7.7687,=11.1922,=0.7851,=0.5583,=0.4470,=0.5779,=0.7482,=0.9081,=1.2489,=2.0916,=0.9494,=0.8557,=1.1817,=1.4466,=1.8031,=2.3593,,=0.1022,,=0.0435,=15
="HSMCHYI",恒生中国内地企业高股息率指数,2019-09-01,=-0.0197,=2883.1200,=0.0361,=7.5575,=0.9867,=3.7550,=5.0312,=5.7506,=6.5958,=7.8706,=0.7699,=0.9514,=0.4590,=0.5764,=0.6349,=0.7173,=0.8175,=1.1618,=0.9867,=0.5101,=0.6865,=0.7879,=0.8877,=1.2099,,=0.1015,,=0.0529,=250
="000818",细分金融,2012-04-11,=-0.0046,=7020.3900,=-0.0492,=7.5863,=0.4765,=5.2356,=6.4985,=7.6824,=8.4792,=10.9951,=0.8075,=0.3472,=0.5930,=0.7010,=0.9209,=1.1017,=1.4303,=2.3163,=0.8530,=1.2689,=1.6360,=1.9665,=2.2231,=2.9111,=0.0780,=0.0967,=0.0768,=0.0384,=4
="HSHYLV",恒生港股通高股息低波动指数,2017-05-08,=-0.0158,=4671.4200,=0.0455,=7.6313,=0.8762,=3.5572,=4.6217,=5.9114,=7.0525,=9.5068,=0.6765,=0.6551,=0.3828,=0.4838,=0.5720,=0.8206,=1.1073,=1.0138,=0.6305,=0.4386,=0.6435,=0.8351,=1.4362,=2.0623,,=0.0870,,=0.0568,=1289
="H30270",红利价值,2013-12-19,=-0.0187,=9421.2200,=-0.0117,=7.6614,=0.7347,=4.4543,=5.4130,=6.7154,=8.8120,=13.0955,=0.7985,=0.6048,=0.5256,=0.6472,=0.7553,=1.2640,=1.7317,=1.5454,=0.9887,=0.5854,=0.8052,=0.9892,=1.2402,=1.6166,=0.0710,=0.0973,=0.0746,=0.0446,=134
="HSHDYI",恒生高股息率指数,2012-12-10,=-0.0166,=1339.4400,=0.0502,=7.7884,=0.8258,=3.6777,=4.8612,=6.5799,=7.6526,=10.6953,=0.7271,=0.5922,=0.4041,=0.5046,=0.6483,=0.9078,=1.1746,=1.1442,=0.5926,=0.5013,=0.7008,=1.0613,=1.5005,=1.9871,,=0.0974,,=0.0566,=880
="000914",300金融,2007-07-02,=-0.0053,=6401.2000,=-0.0471,=7.8719,=0.5231,=5.2769,=6.6035,=7.7987,=8.5959,=11.3863,=0.8043,=0.3291,=0.5962,=0.7048,=0.9418,=1.1423,=1.4919,=2.1655,=0.8624,=1.1210,=1.4313,=1.8124,=2.0541,=2.7052,=0.0752,=0.0912,=0.0734,=0.0380,=334
="HSSCHKY",恒生港股通高股息率指数,2019-11-01,=-0.0188,=2622.8600,=0.0586,=7.8721,=0.9851,=3.8979,=4.9357,=5.7840,=7.0587,=8.2018,=0.7120,=0.9105,=0.4277,=0.5146,=0.5712,=0.6615,=0.8197,=1.2123,=0.9358,=0.5333,=0.6931,=0.8630,=1.0947,=1.3442,,=0.0939,,=0.0542,=447
="930914",港股通高股息,2016-11-25,=-0.0174,=5087.3700,=0.0345,=7.9697,=0.8437,=3.4280,=4.3969,=5.8276,=7.6491,=11.1979,=0.7540,=0.7236,=0.3979,=0.4997,=0.6063,=0.8575,=1.1764,=1.2418,=0.8150,=0.5144,=0.6908,=0.9140,=1.2189,=2.2126,,=0.1031,,=0.0557,=592
="000151",上国红利,2012-07-20,=-0.0349,=1517.8500,=-0.0064,=8.0027,=0.8649,=4.5075,=5.3671,=6.8552,=7.5420,=10.0345,=0.7569,=0.5021,=0.5268,=0.6196,=0.7561,=0.9686,=1.3272,=1.0210,=0.3773,=0.6026,=0.8954,=1.1219,=1.3114,=1.6854,=0.0643,=0.0941,=0.0692,=0.0528,=167
="931157",SHS红利成长LV,2019-04-25,=-0.0152,=7470.5200,=0.0022,=8.0215,=0.7164,=4.1261,=5.5570,=6.8351,=8.3623,=11.5318,=0.8182,=0.5486,=0.5154,=0.6214,=0.8034,=0.9345,=1.5888,=1.5833,=0.9878,=0.5018,=0.7010,=1.0062,=1.3465,=1.6290,,=0.1050,,=0.0493,=234
="932596",港股通红利低波,2016-02-04,=-0.0192,=4060.6300,=0.0469,=8.0829,=0.6957,=7.4451,=7.6578,=7.9292,=8.2721,=8.5745,=0.7358,=0.9674,=0.6528,=0.6739,=0.7063,=0.7192,=0.7622,=1.3203,=0.6739,=1.2161,=1.2509,=1.2947,=1.3601,=1.4099,,,,=0.0538,=41
="H30269",红利低波,2013-12-19,=-0.0127,=11026.0700,=-0.0190,=8.0951,=0.7430,=4.5638,=5.5488,=6.7611,=9.4763,=14.4342,=0.8496,=0.5618,=0.5386,=0.6570,=0.8017,=1.3862,=1.9670,=1.5658,=0.9806,=0.6111,=0.8850,=1.0984,=1.4107,=1.6442,=0.0719,=0.1026,=0.0729,=0.0455,=3372
="H50040",上红低波,2014-03-21,=-0.0132,=10921.8400,=-0.0095,=8.1182,=0.7496,=4.6938,=5.9513,=6.9639,=9.6317,=14.3118,=0.8405,=0.5070,=0.5647,=0.6911,=0.8382,=1.3563,=1.8756,=1.5807,=0.9798,=0.6380,=0.8693,=1.2018,=1.3887,=1.6603,=0.0726,=0.1018,=0.0748,=0.0450,=313
="HSCSOE",恒生中国央企指数,2023-01-01,=-0.0291,=3762.9200,=0.0467,=8.1232,=0.9855,=4.9972,=5.5158,=5.9821,=7.3019,=8.5137,=0.7857,=0.9868,=0.5264,=0.5877,=0.6243,=0.7250,=0.8235,=0.9730,=0.9947,=0.5404,=0.5907,=0.6540,=0.8159,=1.0198,,=0.0979,,=0.0502,=101
="000029",180价值,2009-01-09,=-0.0132,=4265.4300,=-0.0422,=8.1502,=0.6660,=5.6894,=6.9094,=7.8704,=8.4788,=10.8138,=0.8240,=0.2681,=0.6666,=0.8069,=0.8692,=1.0683,=1.4433,=1.0606,=0.8072,=0.6198,=0.7826,=0.9445,=1.0588,=1.4032,=0.0706,=0.0955,=0.0778,=0.0439,=550
="000934",中证金融,2009-07-03,=-0.0079,=6004.2400,=-0.0423,=8.2210,=0.5589,=5.7083,=6.8952,=8.0430,=8.8699,=11.5527,=0.8190,=0.3357,=0.6117,=0.7182,=0.9486,=1.1593,=1.5017,=2.1673,=0.8666,=1.1467,=1.4503,=1.8026,=2.0473,=2.6696,=0.0733,=0.0882,=0.0717,=0.0368,=1137
