指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),净资产收益率(ROE)(2025Q3),净资产收益率(ROE)(2024Q4),净资产收益率(ROE)(2024Q3),股息率,关注度
="931039",银行AH,2017-12-06,=-0.0016,=12671.2400,=0.0863,=5.9014,=0.8172,=3.2016,=4.0318,=5.1283,=5.8583,=7.9938,=0.5567,=0.4488,=0.3790,=0.4536,=0.5709,=0.7188,=1.0569,=2.2489,=0.8868,=1.0856,=1.4241,=1.7247,=2.0374,=2.9053,,=0.0932,,=0.0518,=60
="H11146",港股通内地金融,2010-06-02,=-0.0014,=1098.5300,=0.2879,=6.3381,=0.6472,=3.2759,=4.5181,=5.7826,=6.7473,=9.2347,=0.6445,=0.4220,=0.3797,=0.4941,=0.6901,=0.8787,=1.1859,=1.6383,=0.8607,=0.6692,=0.9479,=1.2460,=1.5610,=2.1885,,=0.0965,,=0.0451,=25
="930792",HK银行,2016-04-22,=0.0009,=4367.9600,=0.3387,=6.9459,=0.8472,=3.2659,=4.4412,=5.7541,=6.6353,=9.5632,=0.6433,=0.5456,=0.3905,=0.4944,=0.6163,=0.8060,=1.0771,=2.5853,=0.9430,=1.0519,=1.5130,=1.8173,=2.2821,=3.1066,,=0.0966,,=0.0489,=719
="HSSCSOY",恒生港股通中国央企红利指数,2023-06-01,=-0.0051,=4038.5300,=0.2531,=6.9923,=0.9354,=4.1647,=4.5789,=5.4525,=6.5869,=7.6037,=0.6646,=0.8252,=0.4381,=0.4886,=0.5764,=0.6591,=0.7227,=0.9371,=0.9433,=0.5323,=0.5875,=0.7186,=0.8821,=1.0190,,=0.1030,,=0.0580,=159
="931233",港股通央企红利,2017-06-28,=-0.0026,=1172.7900,=0.1869,=7.1003,=0.7172,=3.6988,=4.9297,=6.2344,=7.4146,=14.0775,=0.6812,=0.6063,=0.3929,=0.5204,=0.6339,=0.8725,=1.8161,=0.9774,=0.5632,=0.4645,=0.6146,=0.9231,=1.4033,=1.7583,,=0.0974,,=0.0561,=304
="987016",港股通红利低波,2021-11-18,,,=0.2120,=7.1149,=0.9669,=3.4544,=4.2684,=4.7599,=5.8226,=7.7483,=0.6632,=0.8996,=0.4152,=0.4826,=0.5310,=0.6003,=0.7226,=1.1682,=0.9659,=0.5827,=0.6535,=0.7741,=0.8967,=1.2728,,=0.0954,,=0.0587,=35
="399986",中证银行,2013-07-15,=-0.0035,=7528.8200,=0.0575,=7.1281,=0.8675,=4.1183,=5.2645,=6.1848,=6.7866,=9.0846,=0.6971,=0.4033,=0.4848,=0.5838,=0.7309,=0.9106,=1.2416,=2.7168,=0.9321,=1.4134,=1.7845,=2.1075,=2.4192,=3.3016,=0.0685,=0.0932,=0.0729,=0.0421,=9243
="H30106",H300金融服务,2013-05-21,=0.0022,=1521.7700,=0.3766,=7.3376,=0.6594,=4.0175,=5.3627,=6.7617,=7.7687,=11.1922,=0.7684,=0.5273,=0.4470,=0.5779,=0.7487,=0.9094,=1.2489,=2.0515,=0.9360,=0.8557,=1.1817,=1.4425,=1.7879,=2.3593,,=0.1022,,=0.0434,=16
="HSMCHYI",恒生中国内地企业高股息率指数,2019-09-01,=-0.0015,=2809.2900,=0.2411,=7.3524,=0.9622,=3.7550,=5.0288,=5.7263,=6.5567,=7.8564,=0.7490,=0.8826,=0.4590,=0.5758,=0.6337,=0.7098,=0.8175,=1.1303,=0.9801,=0.5101,=0.6856,=0.7853,=0.8806,=1.2090,,=0.1015,,=0.0532,=247
="HSHYLV",恒生港股通高股息低波动指数,2017-05-08,=-0.0010,=4519.1700,=0.2033,=7.4445,=0.8616,=3.5572,=4.6186,=5.9014,=6.9982,=9.5068,=0.6602,=0.6285,=0.3828,=0.4838,=0.5690,=0.8224,=1.1073,=0.9939,=0.6196,=0.4386,=0.6400,=0.8311,=1.4432,=2.0623,,=0.0870,,=0.0586,=1230
="HSHDYI",恒生高股息率指数,2012-12-10,=0.0017,=1288.0200,=0.2991,=7.5922,=0.7978,=3.6777,=4.8617,=6.5437,=7.5957,=10.6953,=0.7088,=0.5542,=0.4041,=0.5047,=0.6486,=0.9071,=1.1746,=1.1203,=0.5696,=0.5013,=0.7009,=1.0571,=1.4996,=1.9871,,=0.0974,,=0.0582,=863
="HSSCHKY",恒生港股通高股息率指数,2019-11-01,=0.0007,=2504.4800,=0.2150,=7.6015,=0.9657,=3.8979,=4.9331,=5.7512,=7.0161,=8.1550,=0.6875,=0.8695,=0.4277,=0.5140,=0.5700,=0.6583,=0.8197,=1.1707,=0.9222,=0.5333,=0.6917,=0.8597,=1.0886,=1.3442,,=0.0939,,=0.0560,=432
="930914",港股通高股息,2016-11-25,=-0.0043,=4936.9400,=0.1634,=7.7104,=0.8161,=3.4280,=4.3883,=5.8090,=7.5896,=11.1979,=0.7294,=0.6759,=0.3979,=0.4987,=0.6038,=0.8599,=1.1764,=1.2008,=0.7929,=0.5144,=0.6880,=0.9121,=1.2174,=2.2126,,=0.1031,,=0.0575,=547
="HSCSOE",恒生中国央企指数,2023-01-01,=0.0011,=3590.3100,=0.2400,=7.7396,=0.9305,=4.9972,=5.5012,=5.9458,=6.9413,=8.3212,=0.7468,=0.8924,=0.5264,=0.5849,=0.6228,=0.7024,=0.8025,=0.8869,=0.9550,=0.5404,=0.5902,=0.6507,=0.7748,=0.9532,,=0.0979,,=0.0526,=97
="399809",保险主题,2015-02-13,=-0.0027,=2721.0900,=0.2294,=7.7804,=0.3136,=5.4537,=6.8119,=10.6808,=15.0228,=22.8725,=0.8745,=0.3296,=0.6352,=0.7669,=1.2348,=1.4853,=1.9794,=2.2868,=0.9704,=0.5239,=0.8689,=1.0930,=1.3126,=2.3772,=0.0826,=0.0985,=0.0781,=0.0358,=1404
="932596",港股通红利低波,2016-02-04,=0.0004,=3877.8600,=0.2078,=7.8265,=0.4328,=7.4451,=7.5585,=7.9650,=8.3006,=8.5745,=0.7124,=0.9104,=0.6528,=0.6628,=0.6969,=0.7085,=0.7309,=1.2779,=0.4328,=1.2161,=1.2346,=1.3016,=1.3648,=1.4099,,,,=0.0543,=27
="000018",180金融,2007-12-10,=-0.0003,=5957.8200,=0.1001,=7.8361,=0.6309,=5.2016,=6.4226,=7.4779,=8.3000,=10.8609,=0.8329,=0.3942,=0.5902,=0.6966,=0.9194,=1.0786,=1.4199,=2.3754,=0.8979,=1.2355,=1.5826,=1.9108,=2.1579,=2.8772,=0.0787,=0.0991,=0.0776,=0.0363,=755
="H30270",红利价值,2013-12-19,=-0.0018,=9516.1500,=0.0040,=7.8663,=0.7625,=4.4543,=5.4034,=6.7037,=8.8590,=13.0955,=0.8180,=0.6384,=0.5256,=0.6466,=0.7535,=1.2674,=1.7317,=1.5868,=0.9973,=0.5854,=0.8033,=0.9865,=1.2272,=1.5998,=0.0710,=0.0973,=0.0746,=0.0423,=123
="000818",细分金融,2012-04-11,=0.0002,=7412.7800,=0.0925,=7.9682,=0.6070,=5.2356,=6.4985,=7.6697,=8.4792,=10.9951,=0.8465,=0.3885,=0.5930,=0.7010,=0.9352,=1.1053,=1.4303,=2.4329,=0.8975,=1.2689,=1.6360,=1.9651,=2.2132,=2.9111,=0.0780,=0.0967,=0.0768,=0.0355,=4
="HSSCHYS",恒生港股通红利优选指数,2023-06-01,=0.0012,=4689.8100,=0.2914,=7.9790,=0.9480,=4.2457,=4.6734,=5.6103,=7.2836,=8.5630,=0.7319,=0.8945,=0.4429,=0.4935,=0.5693,=0.7000,=0.7859,=1.0340,=0.9228,=0.6036,=0.6668,=0.8584,=0.9749,=1.1099,,=0.0975,,=0.0612,=60
="931157",SHS红利成长LV,2019-04-25,=-0.0002,=7497.1500,=0.0874,=8.0465,=0.7264,=4.1261,=5.5436,=6.8135,=8.3758,=11.5318,=0.8189,=0.5538,=0.5154,=0.6205,=0.8006,=0.9385,=1.5888,=1.5891,=1,=0.5018,=0.6990,=0.9783,=1.3296,=1.5891,,=0.1050,,=0.0481,=212
="000914",300金融,2007-07-02,=0.0005,=6748.7100,=0.0805,=8.2616,=0.6609,=5.2769,=6.6035,=7.7842,=8.5959,=11.3863,=0.8424,=0.3815,=0.5962,=0.7048,=0.9565,=1.1471,=1.4919,=2.2727,=0.9091,=1.1210,=1.4313,=1.8125,=2.0455,=2.7052,=0.0752,=0.0912,=0.0734,=0.0352,=333
="000151",上国红利,2012-07-20,=0.0054,=1541.0900,=-0.0479,=8.2778,=0.9416,=4.5075,=5.3671,=6.8309,=7.5115,=10.0345,=0.7821,=0.5342,=0.5268,=0.6196,=0.7570,=0.9717,=1.3272,=1.0561,=0.4342,=0.6026,=0.8954,=1.1291,=1.3137,=1.6854,=0.0643,=0.0941,=0.0692,=0.0516,=157
="000029",180价值,2009-01-09,=0.0005,=4456.3200,=0.0608,=8.3467,=0.7584,=5.6894,=6.9094,=7.8639,=8.4870,=10.8138,=0.8424,=0.3576,=0.6666,=0.8069,=0.8725,=1.0704,=1.4433,=1.0862,=0.8700,=0.6198,=0.7826,=0.9444,=1.0564,=1.4032,=0.0706,=0.0955,=0.0778,=0.0420,=547
="H30269",红利低波,2013-12-19,=-0.0017,=11248.5600,=0.0052,=8.3625,=0.7749,=4.5638,=5.5488,=6.7476,=9.4763,=14.4342,=0.8758,=0.5881,=0.5386,=0.6570,=0.8019,=1.3862,=1.9670,=1.6175,=0.9959,=0.6111,=0.8850,=1.0987,=1.4099,=1.6556,=0.0719,=0.1026,=0.0729,=0.0429,=3120
="H50040",上红低波,2014-03-21,=-0.0022,=11042.8400,=0.0321,=8.3811,=0.7868,=4.6938,=5.9513,=6.9472,=9.6317,=14.3118,=0.8660,=0.5613,=0.5647,=0.6911,=0.8391,=1.3563,=1.8756,=1.6319,=0.9975,=0.6380,=0.8693,=1.2019,=1.3865,=1.6452,=0.0726,=0.1018,=0.0748,=0.0425,=304
